Time started: 2026-01-14 23:51:58.054865
Vendor: IonQ
Backend: aria-1
Problems: ['Bernstein-Vazirani']

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata
Bernstein-Vazirani,4,1024,2026-01-14 23:52:03.955427,5899.448,N/A,{'011': 1024},Secret number: 011
Bernstein-Vazirani,4,1024,2026-01-14 23:52:15.754070,5666.628,N/A,"{'000': 1, '010': 1023}",Secret number: 010
Bernstein-Vazirani,4,1024,2026-01-14 23:52:27.566197,5685.877,N/A,{'010': 1024},Secret number: 010
Bernstein-Vazirani,4,1024,2026-01-14 23:52:39.518050,5825.879,N/A,{'000': 1024},Secret number: 000
Bernstein-Vazirani,4,1024,2026-01-14 23:52:51.339131,5694.988,N/A,{'011': 1024},Secret number: 011
Bernstein-Vazirani,6,1024,2026-01-14 23:53:03.451444,5986.145,N/A,"{'01011': 1023, '01001': 1}",Secret number: 01011
Bernstein-Vazirani,6,1024,2026-01-14 23:53:16.021409,5939.254,N/A,"{'10111': 1023, '10101': 1}",Secret number: 10111
Bernstein-Vazirani,6,1024,2026-01-14 23:53:28.470009,5822.552,N/A,"{'10111': 1, '11111': 1022, '11011': 1}",Secret number: 11111
Bernstein-Vazirani,6,1024,2026-01-14 23:53:40.793349,5697.453,N/A,{'00101': 1024},Secret number: 00101
Bernstein-Vazirani,6,1024,2026-01-14 23:53:53.181948,5762.773,N/A,{'01101': 1024},Secret number: 01101
Bernstein-Vazirani,8,1024,2026-01-14 23:54:05.696228,5888.091,N/A,{'0110011': 1024},Secret number: 0110011
Bernstein-Vazirani,8,1024,2026-01-14 23:54:18.582889,5755.922,N/A,{'0101001': 1024},Secret number: 0101001
Bernstein-Vazirani,8,1024,2026-01-14 23:54:31.540183,5831.457,N/A,"{'1100001': 1, '1100011': 1022, '1100010': 1}",Secret number: 1100011
Bernstein-Vazirani,8,1024,2026-01-14 23:54:44.409474,5746.980,N/A,{'0000010': 1024},Secret number: 0000010
Bernstein-Vazirani,8,1024,2026-01-14 23:54:57.328474,5796.858,N/A,"{'1110111': 1023, '1110101': 1}",Secret number: 1110111

Time ended: 2026-01-14 23:55:04.453652
Time difference: 0 hours; 03 minutes; 06.398787 seconds
