Time started: 2026-01-15 00:06:55.145983
Vendor: IonQ
Backend: aria-1
Problems: ["Grover's Algorithm"]

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata
Grover's Algorithm,3,2048,2026-01-15 00:07:01.281128,6132.275,N/A,"{'000': 87, '001': 91, '010': 91, '011': 82, '100': 78, '101': 84, '110': 1445, '111': 90}","Iterations: 1, Target string: 110"
Grover's Algorithm,3,2048,2026-01-15 00:07:18.136200,5845.489,N/A,"{'000': 1498, '001': 88, '010': 87, '011': 79, '100': 91, '101': 76, '110': 75, '111': 54}","Iterations: 1, Target string: 000"
Grover's Algorithm,3,2048,2026-01-15 00:07:35.278771,6144.727,N/A,"{'000': 74, '001': 78, '010': 85, '011': 75, '100': 1478, '101': 85, '110': 96, '111': 77}","Iterations: 1, Target string: 100"
Grover's Algorithm,3,2048,2026-01-15 00:07:52.088954,5810.680,N/A,"{'000': 85, '001': 82, '010': 1439, '011': 106, '100': 77, '101': 91, '110': 83, '111': 85}","Iterations: 1, Target string: 010"
Grover's Algorithm,3,2048,2026-01-15 00:08:08.966997,5882.381,N/A,"{'000': 66, '001': 83, '010': 92, '011': 90, '100': 85, '101': 85, '110': 95, '111': 1452}","Iterations: 1, Target string: 111"
Grover's Algorithm,4,2048,2026-01-15 00:08:25.676630,5714.205,N/A,"{'0000': 69, '0001': 90, '0010': 78, '0011': 68, '0100': 110, '0101': 807, '0110': 99, '0111': 102, '1000': 89, '1001': 95, '1010': 74, '1011': 83, '1100': 80, '1101': 69, '1110': 63, '1111': 72}","Iterations: 1, Target string: 0101"
Grover's Algorithm,4,2048,2026-01-15 00:08:42.847529,5918.473,N/A,"{'0000': 98, '0001': 78, '0010': 809, '0011': 106, '0100': 86, '0101': 79, '0110': 100, '0111': 82, '1000': 72, '1001': 83, '1010': 73, '1011': 71, '1100': 88, '1101': 71, '1110': 72, '1111': 80}","Iterations: 1, Target string: 0010"
Grover's Algorithm,4,2048,2026-01-15 00:09:15.237099,21141.505,N/A,"{'0000': 66, '0001': 73, '0010': 86, '0011': 83, '0100': 88, '0101': 94, '0110': 71, '0111': 79, '1000': 98, '1001': 95, '1010': 815, '1011': 83, '1100': 77, '1101': 81, '1110': 79, '1111': 80}","Iterations: 1, Target string: 1010"
Grover's Algorithm,4,2048,2026-01-15 00:13:09.132516,222648.193,N/A,"{'0000': 77, '0001': 77, '0010': 77, '0011': 90, '0100': 99, '0101': 96, '0110': 94, '0111': 756, '1000': 89, '1001': 95, '1010': 69, '1011': 94, '1100': 97, '1101': 77, '1110': 67, '1111': 94}","Iterations: 1, Target string: 0111"
Grover's Algorithm,4,2048,2026-01-15 00:13:57.118043,36735.941,N/A,"{'0000': 74, '0001': 84, '0010': 85, '0011': 93, '0100': 81, '0101': 84, '0110': 70, '0111': 72, '1000': 68, '1001': 73, '1010': 93, '1011': 68, '1100': 99, '1101': 792, '1110': 92, '1111': 120}","Iterations: 1, Target string: 1101"
