Time started: 2026-01-13 15:32:22.958487
Vendor: IBM
Backend: ibm_boston
Problems: ['Bernstein-Vazirani']

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata
Bernstein-Vazirani,4,1024,2026-01-13T20:32:31.10892Z,8535.956,4.34926099,"{'010': 498, '000': 525, '011': 1}",Secret number: 010
Bernstein-Vazirani,4,1024,2026-01-13T20:32:43.139251Z,5557.026,4.34926099,"{'100': 506, '000': 518}",Secret number: 100
Bernstein-Vazirani,4,1024,2026-01-13T20:32:54.484511Z,5014.012,4.34926099,"{'001': 505, '000': 518, '011': 1}",Secret number: 001
Bernstein-Vazirani,4,1024,2026-01-13T20:33:06.256997Z,5485.725,4.34926099,"{'000': 520, '010': 503, '110': 1}",Secret number: 010
Bernstein-Vazirani,4,1024,2026-01-13T20:33:18.076958Z,5658.660,4.34926099,"{'000': 489, '001': 533, '011': 1, '100': 1}",Secret number: 001
Bernstein-Vazirani,4,1024,2026-01-13T20:34:01.14499Z,36737.137,2.516178569,"{'111': 484, '000': 508, '101': 5, '110': 7, '001': 11, '010': 2, '100': 4, '011': 3}",Secret number: 111
Bernstein-Vazirani,4,1024,2026-01-13T20:34:13.109945Z,5272.987,4.34926099,"{'000': 509, '100': 514, '101': 1}",Secret number: 100
Bernstein-Vazirani,4,1024,2026-01-13T20:34:24.828824Z,5392.212,4.3448601,"{'000': 1023, '001': 1}",Secret number: 000
Bernstein-Vazirani,4,1024,2026-01-13T20:34:36.509709Z,5223.220,4.34926099,"{'000': 508, '001': 515, '011': 1}",Secret number: 001
Bernstein-Vazirani,4,1024,2026-01-13T20:34:47.748246Z,4898.639,2.423247601,"{'000': 521, '101': 485, '001': 8, '100': 9, '111': 1}",Secret number: 101
Bernstein-Vazirani,4,1024,2026-01-13T20:34:58.973086Z,4861.997,2.516178569,"{'000': 517, '111': 477, '110': 15, '001': 7, '100': 4, '011': 3, '010': 1}",Secret number: 111
