Time started: 2026-01-13 15:59:39.491314
Backend: ibm_boston
Problems: ["Grover's Algorithm"]

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata
Grover's Algorithm,3,2048,2026-01-13T20:59:45.105861Z,6122.487,3.532116582,"{'101': 97, '110': 1503, '010': 125, '011': 62, '000': 53, '100': 89, '001': 52, '111': 67}","Iterations: 1, Target string: 110"
Grover's Algorithm,3,2048,2026-01-13T21:00:02.220527Z,5776.436,3.532116582,"{'100': 54, '001': 1601, '000': 81, '111': 51, '011': 84, '010': 74, '101': 56, '110': 47}","Iterations: 1, Target string: 001"
Grover's Algorithm,3,2048,2026-01-13T21:00:19.765849Z,6250.884,3.540014136,"{'110': 90, '010': 1561, '111': 69, '100': 52, '101': 56, '000': 73, '011': 58, '001': 89}","Iterations: 1, Target string: 010"
Grover's Algorithm,3,2048,2026-01-13T21:00:36.351139Z,5491.660,3.540014136,"{'000': 1511, '110': 107, '101': 61, '100': 76, '011': 77, '010': 106, '111': 59, '001': 51}","Iterations: 1, Target string: 000"
Grover's Algorithm,3,2048,2026-01-13T21:00:53.910231Z,6258.752,3.540014136,"{'010': 1542, '001': 66, '101': 72, '110': 75, '011': 54, '000': 98, '111': 79, '100': 62}","Iterations: 1, Target string: 010"
Grover's Algorithm,3,2048,2026-01-13T21:01:11.457106Z,5917.861,3.540014136,"{'001': 60, '111': 1559, '110': 84, '011': 83, '100': 80, '010': 46, '101': 96, '000': 40}","Iterations: 1, Target string: 111"
Grover's Algorithm,3,2048,2026-01-13T21:01:28.434796Z,5723.484,3.532116582,"{'111': 1454, '101': 123, '000': 96, '011': 80, '001': 72, '110': 83, '010': 70, '100': 70}","Iterations: 1, Target string: 111"
Grover's Algorithm,3,2048,2026-01-13T21:01:45.1477Z,5495.377,3.532116582,"{'110': 1496, '010': 111, '111': 62, '100': 93, '011': 46, '001': 69, '101': 115, '000': 56}","Iterations: 1, Target string: 110"
Grover's Algorithm,3,2048,2026-01-13T21:02:02.84793Z,6551.732,3.532116582,"{'000': 1527, '110': 92, '100': 71, '011': 75, '111': 56, '101': 60, '010': 106, '001': 61}","Iterations: 1, Target string: 000"
Grover's Algorithm,3,2048,2026-01-13T21:02:20.075953Z,5921.918,3.540014136,"{'011': 1505, '101': 67, '110': 75, '111': 75, '100': 74, '001': 89, '000': 78, '010': 85}","Iterations: 1, Target string: 011"
Grover's Algorithm,3,2048,2026-01-13T21:02:36.703957Z,5334.839,3.532116582,"{'000': 81, '100': 1504, '110': 92, '011': 80, '111': 78, '010': 77, '001': 76, '101': 60}","Iterations: 1, Target string: 100"
Grover's Algorithm,3,2048,2026-01-13T21:02:53.79642Z,6081.990,3.540014136,"{'010': 1530, '000': 88, '001': 79, '101': 54, '110': 110, '111': 65, '100': 63, '011': 59}","Iterations: 1, Target string: 010"
Grover's Algorithm,3,2048,2026-01-13T21:03:11.083539Z,5956.911,3.532116582,"{'011': 1492, '111': 88, '110': 71, '001': 94, '010': 66, '100': 83, '101': 75, '000': 79}","Iterations: 1, Target string: 011"
Grover's Algorithm,3,2048,2026-01-13T21:03:27.480551Z,7180.001,3.532116582,"{'111': 1484, '011': 140, '000': 61, '110': 79, '010': 42, '101': 90, '100': 102, '001': 50}","Iterations: 1, Target string: 111"
Grover's Algorithm,3,2048,2026-01-13T21:03:48.847757Z,7981.069,3.532116582,"{'010': 1572, '101': 52, '001': 99, '111': 46, '011': 63, '100': 70, '110': 61, '000': 85}","Iterations: 1, Target string: 010"
Grover's Algorithm,3,2048,2026-01-13T21:04:05.857321Z,5872.432,3.540014136,"{'110': 1536, '011': 52, '101': 84, '000': 65, '001': 95, '100': 81, '111': 67, '010': 68}","Iterations: 1, Target string: 110"
Grover's Algorithm,3,2048,2026-01-13T21:04:22.991679Z,5893.188,3.532116582,"{'101': 1473, '111': 106, '000': 49, '100': 113, '001': 88, '110': 91, '010': 69, '011': 59}","Iterations: 1, Target string: 101"
Grover's Algorithm,3,2048,2026-01-13T21:04:39.80715Z,5478.242,3.540014136,"{'100': 108, '111': 1464, '001': 72, '010': 54, '011': 95, '110': 71, '000': 112, '101': 72}","Iterations: 1, Target string: 111"
Grover's Algorithm,3,2048,2026-01-13T21:04:56.964558Z,5999.926,3.540014136,"{'101': 1533, '100': 80, '111': 86, '000': 57, '110': 106, '010': 57, '001': 77, '011': 52}","Iterations: 1, Target string: 101"
Grover's Algorithm,3,2048,2026-01-13T21:05:14.512512Z,6624.371,3.540014136,"{'010': 92, '110': 1555, '101': 108, '111': 67, '100': 90, '011': 48, '000': 40, '001': 48}","Iterations: 1, Target string: 110"
Grover's Algorithm,4,2048,2026-01-13T21:05:32.355796Z,6220.862,3.46161484,"{'0001': 940, '1001': 92, '1011': 83, '1000': 86, '1111': 63, '0100': 74, '0101': 77, '0110': 57, '0011': 93, '0000': 80, '1100': 64, '0111': 81, '1010': 69, '0010': 65, '1101': 67, '1110': 57}","Iterations: 1, Target string: 0001"
Grover's Algorithm,4,2048,2026-01-13T21:05:49.854828Z,6141.330,3.46161484,"{'0100': 58, '1011': 85, '0010': 70, '0101': 910, '1001': 82, '0000': 88, '1101': 103, '0110': 52, '0111': 64, '1100': 76, '1000': 84, '0001': 97, '0011': 86, '1010': 67, '1110': 63, '1111': 63}","Iterations: 1, Target string: 0101"
Grover's Algorithm,4,2048,2026-01-13T21:06:06.616409Z,5251.229,3.46161484,"{'0110': 905, '1011': 68, '0011': 128, '1000': 60, '1010': 61, '1001': 92, '0000': 90, '1100': 53, '1110': 99, '0100': 75, '0001': 87, '1111': 80, '0111': 54, '1101': 55, '0010': 98, '0101': 43}","Iterations: 1, Target string: 0110"
Grover's Algorithm,4,2048,2026-01-13T21:06:23.549841Z,5560.012,3.522021983,"{'0001': 135, '1100': 812, '0110': 70, '0101': 130, '0100': 98, '1110': 76, '1000': 78, '0011': 138, '1010': 47, '0010': 72, '1111': 43, '1001': 67, '0000': 59, '1101': 46, '0111': 98, '1011': 79}","Iterations: 1, Target string: 1100"
Grover's Algorithm,4,2048,2026-01-13T21:06:40.995293Z,5953.617,3.522021983,"{'0101': 90, '1110': 70, '1001': 78, '1100': 46, '0001': 961, '0011': 103, '0110': 105, '0100': 68, '0000': 82, '1000': 51, '1011': 61, '0111': 51, '1101': 72, '0010': 80, '1111': 51, '1010': 79}","Iterations: 1, Target string: 0001"
Grover's Algorithm,4,2048,2026-01-13T21:06:58.430442Z,5950.897,3.46161484,"{'0101': 80, '0000': 111, '0110': 90, '1111': 844, '1001': 63, '1101': 75, '0111': 94, '0001': 116, '0011': 100, '1011': 74, '0100': 77, '0010': 98, '1100': 42, '1010': 78, '1110': 71, '1000': 35}","Iterations: 1, Target string: 1111"
Grover's Algorithm,4,2048,2026-01-13T21:07:15.4117Z,5479.800,3.46161484,"{'1101': 88, '0110': 103, '1100': 47, '0000': 79, '0011': 939, '1010': 49, '0101': 79, '0111': 97, '0010': 98, '1000': 38, '1011': 78, '0001': 105, '1111': 83, '0100': 62, '1001': 65, '1110': 38}","Iterations: 1, Target string: 0011"
Grover's Algorithm,4,2048,2026-01-13T21:07:32.348136Z,5376.221,3.522021983,"{'0111': 97, '0000': 108, '0011': 106, '1101': 857, '0100': 87, '0110': 106, '0001': 98, '1011': 60, '1000': 78, '1010': 70, '1111': 64, '1100': 34, '0010': 113, '0101': 64, '1110': 42, '1001': 64}","Iterations: 1, Target string: 1101"
Grover's Algorithm,4,2048,2026-01-13T21:07:49.556173Z,5910.857,3.46161484,"{'0001': 956, '1111': 43, '0110': 79, '0111': 83, '0000': 101, '1100': 50, '1001': 105, '1000': 64, '0101': 90, '0011': 107, '1011': 72, '0010': 65, '1010': 85, '0100': 53, '1101': 30, '1110': 65}","Iterations: 1, Target string: 0001"
Grover's Algorithm,4,2048,2026-01-13T21:08:06.585073Z,5495.816,3.46161484,"{'0111': 87, '1111': 851, '1101': 92, '0110': 125, '0000': 108, '0101': 83, '1011': 72, '0001': 98, '0010': 90, '0100': 69, '1100': 50, '0011': 100, '1110': 59, '1000': 43, '1010': 75, '1001': 46}","Iterations: 1, Target string: 1111"
Grover's Algorithm,4,2048,2026-01-13T21:08:24.291404Z,6064.667,3.46161484,"{'0111': 925, '1111': 86, '1110': 64, '0010': 94, '1100': 65, '0101': 66, '0011': 95, '0110': 72, '0001': 101, '1011': 69, '0000': 81, '1000': 73, '1001': 78, '1010': 78, '0100': 53, '1101': 48}","Iterations: 1, Target string: 0111"
Grover's Algorithm,4,2048,2026-01-13T21:08:41.244206Z,5426.010,3.46161484,"{'0010': 123, '0111': 875, '1000': 72, '0101': 76, '0110': 65, '0100': 64, '1011': 87, '0011': 90, '1101': 52, '0000': 89, '0001': 93, '1010': 66, '1111': 103, '1001': 61, '1110': 58, '1100': 74}","Iterations: 1, Target string: 0111"
Grover's Algorithm,4,2048,2026-01-13T21:08:58.471771Z,5860.853,3.46161484,"{'1011': 96, '1111': 841, '1001': 71, '1010': 69, '0100': 82, '0101': 60, '0001': 86, '0010': 107, '0011': 107, '0111': 88, '0000': 87, '1100': 48, '1101': 99, '0110': 106, '1110': 68, '1000': 33}","Iterations: 1, Target string: 1111"
Grover's Algorithm,4,2048,2026-01-13T21:09:15.635945Z,5552.593,3.522021983,"{'0001': 996, '1000': 62, '0101': 83, '1001': 71, '1100': 44, '0010': 78, '0110': 75, '0111': 58, '1010': 75, '0000': 91, '1011': 55, '1101': 62, '0011': 92, '1111': 73, '1110': 71, '0100': 62}","Iterations: 1, Target string: 0001"
Grover's Algorithm,4,2048,2026-01-13T21:09:32.656871Z,5681.707,3.522021983,"{'1101': 841, '0001': 110, '1001': 75, '0010': 110, '0110': 83, '1010': 74, '0011': 102, '1111': 67, '0000': 102, '1100': 38, '1000': 58, '1011': 54, '0111': 114, '1110': 44, '0100': 109, '0101': 67}","Iterations: 1, Target string: 1101"
Grover's Algorithm,4,2048,2026-01-13T21:09:49.887558Z,5672.379,3.46161484,"{'0101': 882, '1011': 88, '0100': 54, '1000': 65, '1010': 81, '1110': 54, '1101': 101, '0011': 89, '0000': 109, '0001': 127, '0010': 58, '1001': 81, '0111': 83, '1100': 68, '1111': 64, '0110': 44}","Iterations: 1, Target string: 0101"
Grover's Algorithm,4,2048,2026-01-13T21:10:07.458023Z,6269.310,3.522021983,"{'0010': 98, '0000': 975, '1101': 58, '1000': 120, '1010': 59, '1011': 48, '0001': 65, '0100': 81, '0110': 78, '0011': 67, '1100': 59, '0101': 76, '1001': 98, '1110': 50, '1111': 58, '0111': 58}","Iterations: 1, Target string: 0000"
Grover's Algorithm,4,2048,2026-01-13T21:10:24.53901Z,5415.286,3.522021983,"{'0110': 924, '1000': 97, '1010': 76, '1011': 72, '0001': 84, '0010': 103, '1001': 105, '1110': 108, '1100': 44, '0000': 84, '1111': 49, '1101': 46, '0111': 38, '0100': 54, '0011': 105, '0101': 59}","Iterations: 1, Target string: 0110"
Grover's Algorithm,4,2048,2026-01-13T21:10:42.389498Z,6712.154,3.522021983,"{'1000': 958, '0010': 118, '1100': 67, '0001': 118, '0100': 62, '1111': 67, '1110': 41, '1011': 66, '0111': 78, '1010': 60, '0011': 133, '0000': 100, '0101': 52, '1001': 54, '0110': 45, '1101': 29}","Iterations: 1, Target string: 1000"
Grover's Algorithm,4,2048,2026-01-13T21:10:59.681974Z,5619.560,3.46161484,"{'0010': 981, '1011': 55, '0000': 129, '0011': 57, '1100': 62, '1001': 59, '0110': 124, '1110': 69, '0111': 56, '0001': 70, '1010': 102, '0101': 64, '1101': 39, '1000': 51, '0100': 89, '1111': 41}","Iterations: 1, Target string: 0010"
Grover's Algorithm,5,2048,2026-01-13T21:11:16.978844Z,5841.023,4.122292721,"{'10111': 54, '11110': 56, '11011': 282, '00011': 51, '10100': 40, '00111': 48, '00000': 47, '01001': 59, '00010': 43, '01111': 91, '10011': 71, '00101': 52, '00110': 46, '11111': 88, '01100': 74, '10000': 43, '10010': 44, '11000': 66, '01011': 91, '00100': 39, '11001': 65, '10101': 43, '11101': 53, '01110': 57, '01101': 79, '00001': 52, '01010': 68, '11010': 68, '10110': 48, '01000': 57, '10001': 41, '11100': 32}","Iterations: 1, Target string: 11011"
