Time started: 2026-02-10 10:16:47.200429
Vendor: IBM
Backend: ibm_pittsburgh
Problems: ['Bernstein-Vazirani']

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata,error_data
Bernstein-Vazirani,4,1024,2026-02-10T15:16:52.784Z,5708.176,,"{'110': 981, '100': 13, '010': 25, '000': 4, '111': 1}",Secret number: 110,"{'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:17:05.660Z,6454.303,,"{'101': 966, '100': 8, '001': 39, '111': 5, '000': 6}",Secret number: 101,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:17:51.976Z,39972.571,,"{'001': 980, '000': 12, '101': 30, '011': 2}",Secret number: 001,"{'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:18:03.804Z,5560.033,,"{'010': 994, '000': 7, '011': 21, '110': 2}",Secret number: 010,"{'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:18:15.457Z,5340.733,,"{'101': 982, '001': 22, '000': 5, '100': 11, '011': 1, '111': 3}",Secret number: 101,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:19:04.504Z,42628.142,3.103703581,"{'010': 992, '011': 16, '000': 14, '110': 2}",Secret number: 010,"{'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:20:37.980Z,87151.633,2.348954488,"{'101': 984, '001': 20, '000': 4, '111': 1, '100': 15}",Secret number: 101,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:21:41.793Z,57428.432,,"{'010': 987, '011': 23, '000': 11, '110': 3}",Secret number: 010,"{'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:22:48.979Z,60742.977,,"{'001': 989, '101': 22, '000': 8, '011': 4, '100': 1}",Secret number: 001,"{'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:23:00.942Z,5792.113,,"{'100': 996, '101': 18, '000': 7, '110': 3}",Secret number: 100,"{'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,4,1024,2026-02-10T15:24:44.546Z,97182.032,2.187006238,"{'111': 960, '000': 3, '011': 22, '101': 22, '110': 9, '100': 2, '001': 6}",Secret number: 111,"{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q119': {'T1': 0.0002911306429058255, 'T2': 0.0003938079885786404, 'readout_error': 0.0028076171875}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}}"
