,problem,num_qubits,shots,created_time,end_time,time_ms,usage_estimation,results,metadata,error_data,counts,target_string,fidelity
0,Grover's Algorithm,3,2048,2026-02-10T15:03:30.780Z,2026-02-10T15:03:35.708Z,5619.384,,"{'101': 78, '000': 1509, '001': 53, '011': 120, '100': 89, '111': 43, '110': 58, '010': 98}","Iterations: 1, Target string: 000","{'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'101': 78, '000': 1509, '001': 53, '011': 120, '100': 89, '111': 43, '110': 58, '010': 98}",000,0.73681640625
1,Grover's Algorithm,3,2048,2026-02-10T15:03:47.397Z,2026-02-10T15:03:52.170Z,5357.338,3.532116582,"{'010': 1509, '110': 39, '001': 131, '100': 69, '000': 118, '111': 44, '011': 95, '101': 43}","Iterations: 1, Target string: 010","{'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'010': 1509, '110': 39, '001': 131, '100': 69, '000': 118, '111': 44, '011': 95, '101': 43}",010,0.73681640625
2,Grover's Algorithm,3,2048,2026-02-10T15:04:04.112Z,2026-02-10T15:04:09.133Z,5552.675,3.532116582,"{'111': 101, '100': 67, '101': 1344, '011': 77, '000': 123, '001': 193, '010': 76, '110': 67}","Iterations: 1, Target string: 101","{'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'111': 101, '100': 67, '101': 1344, '011': 77, '000': 123, '001': 193, '010': 76, '110': 67}",101,0.65625
3,Grover's Algorithm,3,2048,2026-02-10T15:04:20.915Z,2026-02-10T15:04:26.634Z,6319.225,3.532116582,"{'110': 1281, '010': 180, '011': 125, '101': 82, '001': 124, '100': 122, '000': 87, '111': 47}","Iterations: 1, Target string: 110","{'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'110': 1281, '010': 180, '011': 125, '101': 82, '001': 124, '100': 122, '000': 87, '111': 47}",110,0.62548828125
4,Grover's Algorithm,3,2048,2026-02-10T15:04:38.840Z,2026-02-10T15:04:44.003Z,6406.756,,"{'101': 1416, '001': 192, '110': 82, '011': 45, '010': 66, '111': 115, '100': 60, '000': 72}","Iterations: 1, Target string: 101","{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}}","{'101': 1416, '001': 192, '110': 82, '011': 45, '010': 66, '111': 115, '100': 60, '000': 72}",101,0.69140625
5,Grover's Algorithm,3,2048,2026-02-10T15:04:55.992Z,2026-02-10T15:05:01.934Z,6447.075,,"{'110': 1201, '001': 119, '101': 104, '000': 121, '010': 178, '011': 146, '100': 129, '111': 50}","Iterations: 1, Target string: 110","{'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'110': 1201, '001': 119, '101': 104, '000': 121, '010': 178, '011': 146, '100': 129, '111': 50}",110,0.58642578125
6,Grover's Algorithm,3,2048,2026-02-10T15:05:13.660Z,2026-02-10T15:05:19.855Z,6796.079,,"{'001': 1430, '101': 79, '000': 148, '111': 76, '011': 93, '100': 67, '110': 57, '010': 98}","Iterations: 1, Target string: 001","{'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}}","{'001': 1430, '101': 79, '000': 148, '111': 76, '011': 93, '100': 67, '110': 57, '010': 98}",001,0.6982421875
7,Grover's Algorithm,3,2048,2026-02-10T15:05:31.703Z,2026-02-10T15:05:37.260Z,6077.797,,"{'010': 1503, '001': 137, '101': 56, '111': 45, '011': 80, '100': 67, '000': 115, '110': 45}","Iterations: 1, Target string: 010","{'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'010': 1503, '001': 137, '101': 56, '111': 45, '011': 80, '100': 67, '000': 115, '110': 45}",010,0.73388671875
8,Grover's Algorithm,3,2048,2026-02-10T15:05:49.254Z,2026-02-10T15:05:53.823Z,5358.469,,"{'010': 1517, '101': 34, '100': 37, '001': 140, '111': 27, '011': 67, '000': 151, '110': 75}","Iterations: 1, Target string: 010","{'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}}","{'010': 1517, '101': 34, '100': 37, '001': 140, '111': 27, '011': 67, '000': 151, '110': 75}",010,0.74072265625
9,Grover's Algorithm,3,2048,2026-02-10T15:06:05.615Z,2026-02-10T15:06:11.928Z,6786.56,,"{'111': 1323, '001': 78, '010': 92, '011': 181, '000': 103, '101': 121, '110': 70, '100': 80}","Iterations: 1, Target string: 111","{'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}, 'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}}","{'111': 1323, '001': 78, '010': 92, '011': 181, '000': 103, '101': 121, '110': 70, '100': 80}",111,0.64599609375
